4
-17	-18	0	-17	-18	0	-17	-18	0	-17	-18	0
-20	-21	0	-20	-21	0	-20	-21	0	-20	-21	0
-28	-29	0	-28	-29	0	-28	-29	0	-28	-29	0
-32	-33	0	-32	-33	0	-32	-33	0	-32	-33	0
-46	-47	0	-46	-47	0	-46	-47	0	-46	-47	0
-85	-86	0	-85	-86	0	-85	-86	0	-85	-86	0
-91	-92	0	-91	-92	0	-91	-92	0	-91	-92	0
-113	-114	0	-113	-114	0	-113	-114	0	-113	-114	0
-118	-119	0	-118	-119	0	-118	-119	0	-118	-119	0
-125	-126	0	-125	-126	0	-125	-126	0	-125	-126	0
-129	-130	0	-129	-130	0	-129	-130	0	-129	-130	0
-135	-136	0	-135	-136	0	-135	-136	0	-135	-136	0
-143	-144	0	-143	-144	0	-143	-144	0	-143	-144	0
-145	-146	0	-145	-146	0	-145	-146	0	-145	-146	0
-156	-157	0	-156	-157	0	-156	-157	0	-156	-157	0
-160	-161	0	-160	-161	0	-160	-161	0	-160	-161	0
-173	-174	0	-173	-174	0	-173	-174	0	-173	-174	0
-192	-193	0	-192	-193	0	-192	-193	0	-192	-193	0
-214	-215	0	-214	-215	0	-214	-215	0	-214	-215	0
-216	19	0	-216	19	0	-216	19	0	-216	19	0
-224	-225	0	-224	-225	0	-224	-225	0	-224	-225	0
-235	-236	0	-235	-236	0	-235	-236	0	-235	-236	0
-240	-241	0	-240	-241	0	-240	-241	0	-240	-241	0
-258	-259	0	-258	-259	0	-258	-259	0	-258	-259	0
-284	-285	0	-284	-285	0	-284	-285	0	-284	-285	0
-290	-291	0	-290	-291	0	-290	-291	0	-290	-291	0
-292	-293	0	-292	-293	0	-292	-293	0	-292	-293	0
-298	-299	0	-298	-299	0	-298	-299	0	-298	-299	0
-314	-315	0	-314	-315	0	-314	-315	0	-314	-315	0
-334	-335	0	-334	-335	0	-334	-335	0	-334	-335	0
-336	30	0	-336	30	0	-336	30	0	-336	30	0
-342	-343	0	-342	-343	0	-342	-343	0	-342	-343	0
-344	-345	0	-344	-345	0	-344	-345	0	-344	-345	0
-354	-355	0	-354	-355	0	-354	-355	0	-354	-355	0
-356	34	0	-356	34	0	-356	34	0	-356	34	0
-358	-359	0	-358	-359	0	-358	-359	0	-358	-359	0
-390	-391	0	-390	-391	0	-390	-391	0	-390	-391	0
-409	-410	0	-409	-410	0	-409	-410	0	-409	-410	0
-428	-429	0	-428	-429	0	-428	-429	0	-428	-429	0
-445	-446	0	-445	-446	0	-445	-446	0	-445	-446	0
-447	40	0	-447	40	0	-447	40	0	-447	40	0
-458	-459	0	-458	-459	0	-458	-459	0	-458	-459	0
-495	-496	0	-495	-496	0	-495	-496	0	-495	-496	0
-500	-501	0	-500	-501	0	-500	-501	0	-500	-501	0
-534	-535	0	-534	-535	0	-534	-535	0	-534	-535	0
-544	-545	0	-544	-545	0	-544	-545	0	-544	-545	0
-558	-559	0	-558	-559	0	-558	-559	0	-558	-559	0
-560	47	0	-560	47	0	-560	47	0	-560	47	0
-563	-564	0	-563	-564	0	-563	-564	0	-563	-564	0
-568	-569	0	-568	-569	0	-568	-569	0	-568	-569	0
-570	-571	0	-570	-571	0	-570	-571	0	-570	-571	0
-605	-606	0	-605	-606	0	-605	-606	0	-605	-606	0
-618	-619	0	-618	-619	0	-618	-619	0	-618	-619	0
-639	-640	0	-639	-640	0	-639	-640	0	-639	-640	0
-688	-689	0	-688	-689	0	-688	-689	0	-688	-689	0
-699	-700	0	-699	-700	0	-699	-700	0	-699	-700	0
-728	-729	0	-728	-729	0	-728	-729	0	-728	-729	0
-750	-751	0	-750	-751	0	-750	-751	0	-750	-751	0
-764	-765	0	-764	-765	0	-764	-765	0	-764	-765	0
-780	-781	0	-780	-781	0	-780	-781	0	-780	-781	0
-788	-789	0	-788	-789	0	-788	-789	0	-788	-789	0
-793	-794	0	-793	-794	0	-793	-794	0	-793	-794	0
-812	-813	0	-812	-813	0	-812	-813	0	-812	-813	0
-845	-846	0	-845	-846	0	-845	-846	0	-845	-846	0
-849	-850	0	-849	-850	0	-849	-850	0	-849	-850	0
-859	-860	0	-859	-860	0	-859	-860	0	-859	-860	0
-865	-866	0	-865	-866	0	-865	-866	0	-865	-866	0
-869	-870	0	-869	-870	0	-869	-870	0	-869	-870	0
-897	-898	0	-897	-898	0	-897	-898	0	-897	-898	0
-902	-903	0	-902	-903	0	-902	-903	0	-902	-903	0
-953	-954	0	-953	-954	0	-953	-954	0	-953	-954	0
-958	-959	0	-958	-959	0	-958	-959	0	-958	-959	0
-961	-962	0	-961	-962	0	-961	-962	0	-961	-962	0
-969	-970	0	-969	-970	0	-969	-970	0	-969	-970	0
-1024	-1025	0	-1024	-1025	0	-1024	-1025	0	-1024	-1025	0
-1027	-1028	0	-1027	-1028	0	-1027	-1028	0	-1027	-1028	0
-1042	-1043	0	-1042	-1043	0	-1042	-1043	0	-1042	-1043	0
-1071	-1072	0	-1071	-1072	0	-1071	-1072	0	-1071	-1072	0
-1080	-1081	0	-1080	-1081	0	-1080	-1081	0	-1080	-1081	0
-1101	-1102	0	-1101	-1102	0	-1101	-1102	0	-1101	-1102	0
-1108	-1109	0	-1108	-1109	0	-1108	-1109	0	-1108	-1109	0
-1114	-1115	0	-1114	-1115	0	-1114	-1115	0	-1114	-1115	0
-1126	-1127	0	-1126	-1127	0	-1126	-1127	0	-1126	-1127	0
-1137	-1138	0	-1137	-1138	0	-1137	-1138	0	-1137	-1138	0
-1152	-1153	0	-1152	-1153	0	-1152	-1153	0	-1152	-1153	0
-1171	-1172	0	-1171	-1172	0	-1171	-1172	0	-1171	-1172	0
-1183	-1184	0	-1183	-1184	0	-1183	-1184	0	-1183	-1184	0
-1198	-1199	0	-1198	-1199	0	-1198	-1199	0	-1198	-1199	0
-1202	-1203	0	-1202	-1203	0	-1202	-1203	0	-1202	-1203	0
